OBJECTID_1 *,Shape *,OBJECTID,Shape_1,Sitename,site_addre,street_nam,house_num,location_t,location_n,scientific,tree_num,remarks,remarks_A,priority,elctricit,date,date_sourc,uniqueld,Tree_Name_,point_X,point_Y,Tree_nam_1,Tree_nam_2,scientif_1,Total_Num_,CombinedTr,comments_O,CombNameHe,Name_Eng,Name_Heb,Tree_Type_,Tree_Typ_1,Tree_Typ_2,x,y
20,Point,31991,Point, ,????? ???? 25,????? ????,25,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-31991,83,176759.617,659906.219,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.752443801230804,32.031549726400506
21,Point,32453,Point, ,????? ???? 23,????? ????,23,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-32453,83,176763.039,659925.343,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.75247917941209,32.03172231130712
22,Point,32924,Point, ,????? ???? 21,????? ????,21,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-32924,83,176766.46,659944.467,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.75251454713613,32.03189489616268
23,Point,33455,Point, ,????? ???? 19,????? ????,19,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-33455,83,176769.882,659963.591,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.75254992557489,32.032067481042624
24,Point,34019,Point, ,????? ???? 17,????? ????,17,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-34019,83,176773.303,659982.715,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.75258529355637,32.03224006587151
25,Point,34616,Point, ,????? ???? 15,????? ????,15,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-34616,83,176776.725,660001.839,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.75262067225262,32.03241265072477
26,Point,35296,Point, ,????? ???? 13,????? ????,13,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-35296,83,176780.146,660020.963,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.75265604049153,32.032585235526966
27,Point,35612,Point, ,????? ???? 12,????? ????,12,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-35612,83,176751.731,659998.416,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.752356236287085,32.03238083999456
28,Point,35999,Point, ,????? ???? 11,????? ????,11,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-35999,83,176781.607,660029.126,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.752671145365824,32.03265890265786
29,Point,36304,Point, ,????? ???? 10,????? ????,10,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-36304,83,176756.521,660025.19,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.7524057574798,32.0326224624416
30,Point,36746,Point, ,????? ???? 9,????? ????,9,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-36746,83,176785.968,660053.506,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.75271623206018,32.032878920269766
